16.1,9.55679829795055e-05,1,11.37, -0.32, 11.29, -16.79
16.3,9.129923140170949e-05,1,11.41, -0.32, 11.33, -16.85
16.5,8.726378295639577e-05,1,11.45, -0.32, 11.37, -16.92
16.7,8.344668060465505e-05,1,11.49, -0.32, 11.42, -16.98
16.9,7.983405913365733e-05,1,11.54, -0.32, 11.46, -17.05
17.1,7.64130564319602e-05,1,11.58, -0.32, 11.5, -17.11
17.3,7.317173264588048e-05,1,11.62, -0.32, 11.54, -17.18
17.5,7.009899646378618e-05,1,11.66, -0.32, 11.58, -17.24
17.7,6.718453785139618e-05,1,11.7, -0.32, 11.62, -17.3
17.9,6.441876662948176e-05,1,11.74, -0.32, 11.66, -17.36
18.1,6.179275634629703e-05,1,11.77, -0.32, 11.7, -17.42
18.3,5.929819295182479e-05,1,11.81, -0.32, 11.74, -17.48
18.5,5.692732782965523e-05,1,11.85, -0.32, 11.78, -17.54
18.7,5.467293478633737e-05,1,11.89, -0.32, 11.82, -17.6
18.9,5.252827063708273e-05,1,11.93, -0.32, 11.86, -17.66
19.1,5.048703906206611e-05,1,11.96, -0.32, 11.89, -17.72
19.3,4.854335743905835e-05,1,12.0, -0.32, 11.93, -17.77
19.5,4.669172638649589e-05,1,12.04, -0.32, 11.97, -17.83
19.7,4.492700177652221e-05,1,12.07, -0.32, 12.01, -17.89
19.9,4.3244369000454454e-05,1,12.11, -0.32, 12.04, -17.94
